"cus_id","total_v_act_dist","total_mod_act_dist","total_light_act_dist"
"8053475328","264","13","79"
"8877689391","206","10","192"
"5577150313","93","20","73"
"1503960366","89","25","129"
"7086361926","86","24","87"
"8378563200","78","16","121"
"2022484408","75","22","153"
"7007744171","63","19","126"
"4388161847","53","28","167"
"6962181067","50","30","124"
"3977333714","48","83","94"
"5553957443","45","21","109"
"8253242879","42","13","33"
"1624580081","29","11","81"
"8583815059","25","32","81"
"1644430081","22","29","108"
"2873212765","21","9","128"
"2347167796","19","19","76"
"6775888955","18","10","19"
"4558609924","17","21","119"
"4445114986","16","2","82"
"3372868164","13","3","78"
"4702921684","13","40","162"
"4319703577","9","16","117"
"4020332650","4","4","41"
"6117666160","4","2","136"
"1927972279","3","1","16"
"2320127002","3","3","92"
"6290855005","2","4","117"
"8792009665","1","2","32"
"1844505072","0","2","51"
"2026352035","0","0","107"
"4057192912","0","0","11"
