"unique_customers","total_days","moderate_act_min"
"1624580081","31","159"
"8583815059","31","160"
"8053475328","31","161"
"8378563200","31","166"
"7086361926","31","169"
"5577150313","30","178"
"1644430081","30","200"
"2320127002","31","201"
"4445114986","31","211"
"5553957443","31","219"
"6290855005","29","231"
"3977333714","30","236"
"1503960366","31","239"
"4319703577","31","241"
"8877689391","31","245"
"4388161847","31","250"
"2026352035","31","257"
"4702921684","31","264"
"6962181067","31","264"
"2347167796","18","273"
"2022484408","31","277"
"6117666160","28","290"
"7007744171","26","297"
"4558609924","31","299"
