"cus_id","avg_sed_min"
"1927972279","1317"
"6775888955","1299"
"8253242879","1287"
"8583815059","1267"
"1624580081","1258"
"4020332650","1237"
"2320127002","1220"
"4057192912","1217"
"1844505072","1207"
"6290855005","1193"
"1644430081","1162"
"8053475328","1148"
"2022484408","1113"
"8877689391","1113"
"2873212765","1097"
"4558609924","1094"
"3372868164","1078"
"8792009665","1060"
"7007744171","1055"
"7086361926","850"
"1503960366","848"
"4388161847","837"
"4445114986","830"
"6117666160","796"
"4702921684","766"
"5577150313","754"
"4319703577","736"
"8378563200","716"
"3977333714","708"
"2026352035","689"
"2347167796","687"
"5553957443","668"
"6962181067","662"
