"highest_time_bed","min_time_bed","average_sleep_min"
2,1,"2.1266666666666667"
11,5,"7.5521666666666667"
10,5,"7.3890000000000000"
1,1,"1.0166666666666667"
11,0,"7.9441666666666667"
10,1,"7.2000000000000000"
8,1,"6.4196666666666667"
9,5,"8.4363333333333333"
12,2,"6.9500000000000000"
12,9,"10.8666666666666667"
12,5,"7.7246666666666667"
7,2,"4.8940000000000000"
1,0,"1.1416666666666667"
10,4,"7.4666666666666667"
7,3,"5.8278333333333333"
10,5,"7.9796666666666667"
9,6,"7.4466666666666667"
8,1,"4.9500000000000000"
10,1,"6.7188333333333333"
11,4,"6.0046666666666667"
9,4,"7.0190000000000000"
13,1,"4.9000000000000000"
8,5,"7.2611666666666667"
8,1,"5.8230000000000000"
